RollsRoyce,Phantom,The ultimate luxury sedan with unparalleled craftsmanship and comfort,V12,250 km/h,5.3 seconds,563 HP,450000-500000,2023,Made in the UK,Starlight headliner,"La berline de luxe ultime, alliant un savoir-faire inégalé et un confort absolu","La berlina di lusso definitiva, con artigianalità e comfort senza eguali","La berlina de lujo definitiva, con una artesanía y un confort incomparables","A berlina de luxo definitiva, com artesanato e conforto incomparáveis",Die ultimative Luxuslimousine mit unvergleichlicher Handwerkskunst und Komfort,Pavillon illuminé Starlight,Rivestimento del tetto Starlight,Techo estrellado Starlight,Teto estrelado Starlight,Sternenhimmel-Innenhimmel (Starlight Headliner)
RollsRoyce,Ghost,A slightly smaller but equally refined luxury sedan,V12,250 km/h,4.8 seconds,563 HP,320000-350000,2023,Made in the UK,Effortless doors,Une berline de luxe légèrement plus compacte mais tout aussi raffinée,Una berlina di lusso leggermente più piccola ma altrettanto raffinata,Una berlina de lujo ligeramente más compacta pero igualmente refinada,"Uma berlina de luxo ligeiramente menor, mas igualmente refinada","Eine etwas kleinere, aber ebenso raffinierte Luxuslimousine",Portes à ouverture assistée,Porte ad apertura assistita,Puertas de apertura asistida,Portas de abertura assistida,Türen mit automatischer Unterstützung
RollsRoyce,Cullinan,The world’s most luxurious SUV offering opulence and off-road capability,V12,250 km/h,5.2 seconds,563 HP,350000-400000,2023,Made in the UK,All-terrain suspension,"Le SUV le plus luxueux au monde, offrant opulence et capacités tout-terrain","Il SUV più lussuoso al mondo, che offre opulenza e capacità fuoristrada","El SUV más lujoso del mundo, que ofrece opulencia y capacidad todoterreno","O SUV mais luxuoso do mundo, que oferece opulência e capacidade off-road",Das luxuriöseste SUV der Welt – mit Opulenz und Offroad-Fähigkeit,Suspension tout-terrain,Sospensioni fuoristrada,Suspensión todoterreno,Suspensão todo-terreno,Allradaufhängung für jedes Gelände
RollsRoyce,Spectre,Rolls-Royce’s first fully electric super coupe,Electric,250 km/h,4.5 seconds,577 HP,400000-450000,2023,Made in the UK,Electric silence,Le premier super coupé 100 % électrique de Rolls-Royce,La prima super coupé completamente elettrica di Rolls-Royce,El primer super coupé totalmente eléctrico de Rolls-Royce,O primeiro super coupé totalmente elétrico da Rolls-Royce,Rolls-Royce’ erstes vollelektrisches Supercoupé,Silence électrique,Silenzio elettrico,Silencio eléctrico,Silêncio elétrico,Elektrische Ruhe
Bentley,Continental GT Mulliner,A grand tourer with Mulliner's bespoke craftsmanship and luxury enhancements,W12,333 km/h,3.6 seconds,650 HP,250000-300000,2023,Made in the UK,Bespoke customization,Un grand tourisme avec le savoir-faire sur mesure et les finitions luxueuses de Mulliner,Una gran turismo con l’artigianalità su misura e i dettagli di lusso firmati Mulliner,Un gran turismo con la artesanía a medida y los acabados de lujo de Mulliner,Um grand tourer com o artesanato sob medida e os acabamentos de luxo da Mulliner,Ein Grand Tourer mit maßgeschneiderter Mulliner-Handwerkskunst und luxuriösen Details,Personnalisation sur mesure,Personalizzazione su misura,Personalización a medida,Personalização sob medida,Maßgeschneiderte Individualisierung
Bentley,Continental GTC Mulliner,The convertible version of the Continental GT with Mulliner's bespoke enhancements,W12,327 km/h,3.7 seconds,650 HP,270000-320000,2023,Made in the UK,Open-top luxury,La version cabriolet de la Continental GT avec les améliorations exclusives de Mulliner,La versione cabriolet della Continental GT con le personalizzazioni Mulliner,La versión descapotable del Continental GT con personalización exclusiva de Mulliner,A versão conversível do Continental GT com personalização exclusiva da Mulliner,Die Cabrio-Version des Continental GT mit Mulliners exklusiven Veredelungen,Luxe à ciel ouvert,Lusso a cielo aperto,Lujo descapotable,Luxo a céu aberto,Offenes Luxus-Design
Bentley,Flying Spur Mulliner,An elegant luxury sedan with Mulliner's bespoke craftsmanship and advanced technology,V8,318 km/h,4.1 seconds,542 HP,200000-250000,2023,Made in the UK,All-wheel steering,Une berline élégante combinant artisanat sur mesure et technologie avancée de Mulliner,Un’elegante berlina di lusso con artigianalità su misura e tecnologia avanzata,Una elegante berlina de lujo con artesanía a medida y tecnología avanzada,Uma elegante berlina de luxo com artesanato personalizado e tecnologia avançada,Eine elegante Luxuslimousine mit maßgeschneiderter Mulliner-Handwerkskunst und modernster Technologie,Direction intégrale,Sterzo integrale,Dirección a las cuatro ruedas,Direção nas quatro rodas,Allradlenkung
Bentley,Flying Spur Hybrid Mulliner,A refined luxury sedan with hybrid powertrain and Mulliner's bespoke enhancements,V6 Hybrid,285 km/h,4.3 seconds,536 HP,210000-260000,2023,Made in the UK,Electric drive mode,Une berline raffinée à motorisation hybride avec les finitions personnalisées de Mulliner,Una berlina raffinata con motorizzazione ibrida e finiture Mulliner su misura,Una berlina refinada con tren motriz híbrido y detalles exclusivos de Mulliner,Uma berlina refinada com motorização híbrida e detalhes exclusivos da Mulliner,Eine raffinierte Luxuslimousine mit Hybridantrieb und Mulliners maßgeschneiderten Akzenten,Mode de conduite électrique,Modalità di guida elettrica,Modo de conducción eléctrica,Modo de condução elétrica,Elektrischer Fahrmodus
Bentley,Bentayga Mulliner,A luxury SUV with Mulliner's bespoke customization options and exceptional performance,V8,290 km/h,4.4 seconds,542 HP,180000-240000,2023,Made in the UK,Diamond knurling,Un SUV de luxe offrant les options de personnalisation exclusives de Mulliner et des performances remarquables,Un SUV di lusso con opzioni di personalizzazione Mulliner e prestazioni eccezionali,Un SUV de lujo con opciones de personalización Mulliner y rendimiento excepcional,Um SUV de luxo com opções de personalização Mulliner e desempenho excecional,Ein luxuriöses SUV mit Mulliners individuellen Anpassungen und außergewöhnlicher Leistung,Moletage en diamant,Zigrinatura a diamante,Moleteado en forma de diamante,Textura diamantada,Diamantgerändeltes Finish
Bentley,Bentayga EWB Mulliner,A long-wheelbase version of the Bentayga with Mulliner's enhancements for enhanced rear comfort,V8,290 km/h,4.6 seconds,550 HP,220000-280000,2023,Made in the UK,Rear-seat luxury,"Une version à empattement long du Bentayga, enrichie par les touches de confort arrière signées Mulliner",La versione a passo lungo del Bentayga con miglior comfort posteriore grazie alle finiture Mulliner,Una versión de batalla larga del Bentayga con mejoras de Mulliner para mayor confort trasero,Uma versão de entre-eixos alongado do Bentayga com conforto traseiro aprimorado pela Mulliner,Eine Langversion des Bentayga mit Mulliners Verbesserungen für maximalen Komfort im Fond,Luxe des sièges arrière,Lusso dei sedili posteriori,Lujo en los asientos traseros,Luxo nos bancos traseiros,Luxus für die Rücksitze
